ListingID,Neighbourhood,Walking time (mins),rank
13853554,Yau Tsim Mong,8.0,19.0
13866883,Yau Tsim Mong,4.6,2.0
13901543,Yau Tsim Mong,34.4,150.0
13905218,Yau Tsim Mong,6.8,13.0
13915361,Yau Tsim Mong,6.6,12.0
13921875,Yau Tsim Mong,22.4,91.0
13923535,Yau Tsim Mong,22.0,89.0
13945033,Yau Tsim Mong,37.2,164.0
13947957,Yau Tsim Mong,4.8,3.0
13998979,Yau Tsim Mong,20.8,83.0
14043244,Yau Tsim Mong,23.4,96.0
14058977,Yau Tsim Mong,6.6,12.0
14094559,Yau Tsim Mong,9.2,25.0
14094607,Yau Tsim Mong,34.4,150.0
14095096,Yau Tsim Mong,7.4,16.0
14097964,Yau Tsim Mong,34.4,150.0
14111332,Yau Tsim Mong,34.4,150.0
14111527,Yau Tsim Mong,34.0,148.0
14111648,Yau Tsim Mong,36.4,160.0
14111724,Yau Tsim Mong,33.2,144.0
14111777,Yau Tsim Mong,34.4,150.0
14130853,Yau Tsim Mong,6.0,9.0
14158173,Yau Tsim Mong,34.2,149.0
14205929,Yau Tsim Mong,25.4,106.0
14222651,Yau Tsim Mong,20.6,82.0
14231713,Yau Tsim Mong,5.8,8.0
14232504,Yau Tsim Mong,6.4,11.0
14243542,Yau Tsim Mong,23.4,96.0
14254619,Yau Tsim Mong,35.2,154.0
14269176,Yau Tsim Mong,12.0,39.0
14272176,Yau Tsim Mong,23.0,94.0
14286058,Yau Tsim Mong,21.4,86.0
14294130,Yau Tsim Mong,4.4,1.0
14303590,Yau Tsim Mong,5.8,8.0
14312236,Yau Tsim Mong,35.0,153.0
14323492,Yau Tsim Mong,21.4,86.0
14341647,Yau Tsim Mong,30.6,131.0
14383391,Yau Tsim Mong,22.2,90.0
14383445,Yau Tsim Mong,32.8,142.0
14437476,Yau Tsim Mong,34.4,150.0
14454409,Yau Tsim Mong,26.4,111.0
14457958,Yau Tsim Mong,5.2,5.0
14491318,Yau Tsim Mong,5.0,4.0
14523395,Yau Tsim Mong,14.0,49.0
14531547,Yau Tsim Mong,23.2,95.0
14575551,Yau Tsim Mong,12.0,39.0
14577440,Yau Tsim Mong,5.0,4.0
14579659,Yau Tsim Mong,36.4,160.0
14586177,Yau Tsim Mong,23.4,96.0
14597370,Yau Tsim Mong,10.2,30.0
14620465,Yau Tsim Mong,33.4,145.0
14620834,Yau Tsim Mong,33.4,145.0
14672555,Yau Tsim Mong,7.2,15.0
14706810,Yau Tsim Mong,37.0,163.0
14735585,Yau Tsim Mong,7.0,14.0
14748666,Yau Tsim Mong,15.6,57.0
14762751,Yau Tsim Mong,32.2,139.0
14775558,Yau Tsim Mong,6.4,11.0
14795138,Yau Tsim Mong,31.4,135.0
14798336,Yau Tsim Mong,4.8,3.0
14798631,Yau Tsim Mong,7.8,18.0
14817098,Yau Tsim Mong,24.0,99.0
14817414,Yau Tsim Mong,25.0,104.0
14861506,Yau Tsim Mong,6.2,10.0
14880073,Yau Tsim Mong,5.2,5.0
14880205,Yau Tsim Mong,5.2,5.0
14886762,Yau Tsim Mong,6.0,9.0
14918697,Yau Tsim Mong,25.4,106.0
14918726,Yau Tsim Mong,26.2,110.0
14918814,Yau Tsim Mong,21.4,86.0
14919264,Yau Tsim Mong,5.8,8.0
14921296,Yau Tsim Mong,7.8,18.0
14921737,Yau Tsim Mong,7.0,14.0
14921794,Yau Tsim Mong,7.8,18.0
14935736,Yau Tsim Mong,6.2,10.0
14935810,Yau Tsim Mong,6.2,10.0
14935889,Yau Tsim Mong,5.6,7.0
14935960,Yau Tsim Mong,6.2,10.0
14936015,Yau Tsim Mong,5.8,8.0
14936115,Yau Tsim Mong,5.6,7.0
14942415,Yau Tsim Mong,6.6,12.0
14954100,Yau Tsim Mong,9.0,24.0
14954320,Yau Tsim Mong,35.0,153.0
14972904,Yau Tsim Mong,7.0,14.0
14973351,Yau Tsim Mong,8.6,22.0
14976908,Yau Tsim Mong,16.2,60.0
14983062,Yau Tsim Mong,35.2,154.0
14983074,Yau Tsim Mong,18.8,73.0
14996595,Yau Tsim Mong,35.4,155.0
14997036,Yau Tsim Mong,6.0,9.0
15009169,Yau Tsim Mong,6.8,13.0
15019048,Yau Tsim Mong,8.2,20.0
15030380,Yau Tsim Mong,11.4,36.0
15043159,Yau Tsim Mong,6.8,13.0
15043300,Yau Tsim Mong,6.2,10.0
15087979,Yau Tsim Mong,23.4,96.0
15105107,Yau Tsim Mong,34.4,150.0
15115032,Yau Tsim Mong,5.6,7.0
15122508,Yau Tsim Mong,26.2,110.0
15135209,Yau Tsim Mong,35.4,155.0
